"obs_id","obs_name","lat","lon","gov_agency","addr","etc_addr","rel_river","opened_at","first_at","last_at","data_key","created_at","updated_at"
"10234010","파주시(통일대교)","37-54-16","126-44-30","환경부","경기도 파주시","문산읍 마정리 통일대교","한강","2000-07-01","2000-07-01","2024072400:00:00","20240724","2000-07-01","20240724"
"10234020","파주시(법원리)","37-51-24","126-52-48","환경부","경기도 파주시","법원읍 술이홀로 970-9 법원읍행정복지센터","한강","2001-10-06","2001-10-06","2024072400:00:00","20240724","2001-10-06","20240724"
"10234030","파주시(신산초교)","37-46-50","126-51-07","환경부","경기도 파주시","광탄면 심궁로 13 신산초등학교","한강","2001-10-06","2001-10-06","2024072400:00:00","20240724","2001-10-06","20240724"
"10234040","파주시(용연초교)","37-55-43","126-51-28","환경부","경기도 파주시","파평면 청송로 402번길 31 용연초등학교","한강","2001-10-06","2001-10-06","2024072400:00:00","20240724","2001-10-06","20240724"
"11014010","평택시(진위면사무소)","37-06-00","127-05-26","환경부","경기도 평택시","진위면 봉남길 61 진위면행정복지센터","안성천","1919-07-01","1980-06-01","2024072400:00:00","20240724","1980-06-01","20240724"
"11014020","안성시(안성시청)","37-00-29","127-16-43","환경부","경기도 안성시","시청길 25 안성시청","안성천","1927-01-01","1980-06-04","2024072400:00:00","20240724","1980-06-04","20240724"
"11014030","용인시(원삼면사무소)","37-09-58","127-18-46","환경부","경기도 용인시","처인구 원삼면 원양로 64 원삼면행정복지센터","안성천","1962-07-01","1981-06-04","2024072400:00:00","20240724","1981-06-04","20240724"
"11014040","화성시(양감면사무소)","37-04-57","126-56-46","환경부","경기도 화성시","양감면 초록로 7 양감행정복지센터","안성천","1968-07-01","1981-06-08","2024072400:00:00","20240724","1981-06-08","20240724"
"11014050","천안시(대홍초교)","36-56-59","127-08-54","환경부","충청남도 천안시","서북구 성환읍 잠실길 4 대흥초등학교","안성천","1968-07-01","1980-06-04","2024072400:00:00","20240724","1980-06-04","20240724"
"11014060","화성시(수원대학교)","37-12-36","126-58-30","환경부","경기도 화성시","봉담읍 와우안길 17 수원대학교(IT대학)","안성천","1996-09-01","1996-09-02","2024072400:00:00","20240724","1996-09-02","20240724"
"11014070","평택시(회화리)","37-05-46","127-01-44","환경부","경기도 평택시","서탄면 회화리 388","안성천","1996-09-01","1996-09-02","2024072400:00:00","20240724","1996-09-02","20240724"
"11014080","평택시(군문교)","36-59-01","127-04-48","환경부","경기도 평택시","군문동 군문교","안성천","1996-09-01","1996-09-02","2024072400:00:00","20240724","1996-09-02","20240724"
"11014090","용인시(신갈저수지)","37-13-34","127-05-38","환경부","경기도 용인시","기흥구 고매동 산 87-1 신갈저수지 제방","안성천","1996-09-01","1996-09-02","2024072400:00:00","20240724","1996-09-02","20240724"
"11014100","용인시(이동면사무소)","37-08-28","127-11-46","환경부","경기도 용인시","처인구 이동면 경기동로 673 이동읍행정복지센터","안성천","1996-09-01","1996-09-02","2024072400:00:00","20240724","1996-09-02","20240724"
"11014110","천안시(성거읍사무소)","36-52-41","127-11-57","환경부","충청남도 천안시","서북구 성거읍 봉주로 469 성거읍행정복지센터","안성천","1996-09-01","1996-09-02","2024072400:00:00","20240724","1996-09-02","20240724"
"11014120","안성시(삼암리)","37-01-45","127-12-13","환경부","경기도 안성시","양성면 삼암리 195-5","안성천","1996-09-01","1996-09-02","2024072400:00:00","20240724","1996-09-02","20240724"
"11014130","안성시(안성서운중교)","36-56-41","127-15-47","환경부","경기도 안성시","서운면 바우덕이로 2 안성서운중학교","안성천","1996-09-01","1996-09-02","2024072400:00:00","20240724","1996-09-02","20240724"
"11014140","파주시(적암초교)","37-59-16","127-00-15","환경부","경기도 파주시","적성면 율곡로 3042 적암초등학교","한강","2000-07-01","2000-07-01","2024072400:00:00","20240724","2000-07-01","20240724"
"12014010","아라인천TM","37-33-50","126-37-6","한국수자원공사","인천광역시 서구 오류동","1580-2","한강서해","2011-12-01","2015-08-04","2024072400:00:00","20240724","2015-08-04","20240724"
"12024010","안산시(안산호동초교)","37-18-46","126-51-54","환경부","경기도 안산시","상록구 성호로 70 안산호동초등학교","한강서해","1978-01-01","1979-08-23","2024072400:00:00","20240724","1979-08-23","20240724"
"12024020","안산시(장상동)","37-21-04","126-52-51","환경부","경기도 안산시","상록구 장상동 523","한강서해","1978-01-01","1979-07-13","2024072400:00:00","20240724","1979-07-13","20240724"
"13014010","양양군(갈천리)","37-54-30","128-30-14","환경부","강원특별자치도 양양군","서면 갈천리 126","한강동해","1983-07-01","1983-07-01","2024072400:00:00","20240724","1983-07-01","20240724"
"13014020","인제군(한계령)","38-05-52","128-24-18","환경부","강원특별자치도 인제군","한계리 산 1-2 한계령 (한계령휴게소 인근)","한강","1983-08-01","1983-08-08","2024072400:00:00","20240724","1983-08-08","20240724"
"13024010","강릉시(소금강분소)","37-49-21","128-42-45","환경부","강원특별자치도 강릉시","연곡면 삼산리 159-2","한강동해","1983-07-01","1983-07-01","2024072400:00:00","20240724","1983-07-01","20240724"
"13034010","삼척시(심포리)","37-11-40","129-01-59","환경부","강원특별자치도 삼척시","도계읍 심포리 267-5","한강동해","1983-07-01","1983-07-01","2024072400:00:00","20240724","1983-07-01","20240724"
"20014005","현동","36-59-08","129-00-18","기타","경상북도 봉화군","소천면    현동리    소천면사무소","낙동강","1916-08-02","1983-06-20","1987090700:00:00","20240724","1983-06-20","19870907"
"20014010","봉화군(재산면사무소)","36-48-58","128-57-43","환경부","경상북도 봉화군","재산면 현동리 763 (재산면사무소)","낙동강","1962-11-01","1980-06-25","2024072400:00:00","20240724","1980-06-25","20240724"
"20014020","안동시(석동동)","36-34-28","128-48-21","환경부","경상북도 안동시","석동동 412","낙동강","1968-01-01","1980-07-10","2024072400:00:00","20240724","1980-07-10","20240724"
"20014030","안동시(서부리)","36-42-15","128-48-39","환경부","경상북도 안동시","도산면 서부리 산32 (한국국학진흥원 내 주차장옆산)","낙동강","1968-03-01","1980-06-01","2024072400:00:00","20240724","1980-06-01","20240724"
"20014040","봉화군(애당리)","36-59-07","128-52-21","환경부","경상북도 봉화군","춘양면 애당리 184-3 (무지개팬션 내)","낙동강","1968-01-01","1980-06-16","2024072400:00:00","20240724","1980-06-16","20240724"
"20014050","안동시(월곡초교)","36-39-40","128-53-14","환경부","경상북도 안동시","예안면 정산리 624 (월곡초교)","낙동강","1968-01-01","1980-06-25","2024072400:00:00","20240724","1980-06-25","20240724"
"20014060","봉화군(풍호리)","36-50-46","128-53-20","환경부","경상북도 봉화군","명호면 풍호리 산174","낙동강","1968-01-01","1980-06-30","2024072400:00:00","20240724","1980-06-30","20240724"
"20014070","태백시(태백시청)","37-09-47","128-59-11","환경부","강원특별자치도 태백시","황지동 244-3 (태백시청 견인차량 보관소 부근)","낙동강","1968-01-01","1982-08-21","2024072400:00:00","20240724","1982-08-21","20240724"
"20014080","봉화군(석포초교)","37-02-51","129-03-49","환경부","경상북도 봉화군","석포면 석포리 산5-2 (석포초교 뒷산)","낙동강","1968-01-01","1983-06-20","2024072400:00:00","20240724","1983-06-20","20240724"
"20014090","봉화군(분천리)","36-55-59","129-07-16","환경부","경상북도 봉화군","소천면 분천리 산165-13 (옥방휴게소 부근)","낙동강","1968-01-01","1980-07-11","2024072400:00:00","20240724","1980-07-11","20240724"
"20014110","안동시(의촌리)","36-42-52","128-51-21","한국수자원공사","경상북도 안동시","도산면 의촌리","낙동강","1978-07-16","1984-07-03","2024072400:00:00","20240724","1984-07-03","20240724"
"20014120","봉화군(대현리)","37-04-10","128-58-30","한국수자원공사","경상북도 봉화군","석포면 대현리","낙동강","1978-07-16","1984-07-03","2024072400:00:00","20240724","1984-07-03","20240724"
"20014130","봉화군(갈산리)","36-50-10","128-58-36","한국수자원공사","경상북도 봉화군","재산면 갈산리","낙동강","1978-07-16","1987-06-01","2024072400:00:00","20240724","1987-06-01","20240724"
"20014140","봉화군(고선리)","36-57-46","128-59-55","한국수자원공사","경상북도 봉화군","소천면 고선리","낙동강","2009-09-17","2009-09-17","2024072400:00:00","20240724","2009-09-17","20240724"
"20014150","현동","36-50-11","128-58-31","한국수자원공사","경상북도 봉화군","재산면    갈산리","낙동강","1978-07-16","1984-07-03","1995082800:00:00","20240724","1984-07-03","19950828"
"20014160","태백시(소도동)","37-07-21","128-57-08","환경부","강원특별자치도 태백시","소도동 산38-8 (공원관리사무소 주차장 내)","낙동강","1983-07-01","1983-08-08","2024072400:00:00","20240724","1983-08-08","20240724"
"20014170","봉화군(관창리)","36-48-34","128-52-34","한국수자원공사","경상북도 봉화군","명호면 관창리","낙동강","1995-05-28","1995-05-28","2024072400:00:00","20240724","1995-05-28","20240724"
"20014180","안동시(기사리)","36-39-16","128-52-43","한국수자원공사","경상북도 안동시","예안면 기사리","낙동강","1995-05-28","1995-05-28","2024072400:00:00","20240724","1995-05-28","20240724"
"20014190","봉화군(서동리)","36-56-48","128-55-07","한국수자원공사","경상북도 봉화군","춘양면 서동리 산11-1","낙동강","1995-05-28","1995-05-28","2024072400:00:00","20240724","1995-05-28","20240724"
"20014200","태백시(문곡동)","37-07-25","129-00-27","한국수자원공사","강원특별자치도 태백시","문곡동","낙동강","1995-05-28","1995-05-28","2024072400:00:00","20240724","1995-05-28","20240724"
"20014210","울진군(전곡리)","36-57-37","129-06-43","한국수자원공사","경상북도 울진군","서면 전곡리","낙동강","1995-05-28","1995-05-28","2024072400:00:00","20240724","1995-05-28","20240724"
"20014230","영천시(화남면사무소)","36-03-33","128-53-22","환경부","경상북도 영천시","화남면 삼창리 1022-1 (화남면사무소)","낙동강","2002-01-01","2002-03-19","2024072400:00:00","20240724","2002-03-19","20240724"
"20024020","안동시(당북동)","36-33-31","128-43-09","환경부","경상북도 안동시","당북동 398-4","낙동강","1916-11-01","1980-06-17","2024072400:00:00","20240724","1980-06-17","20240724"
"20024030","청송군(현서면사무소)","36-16-33","128-53-45","환경부","경상북도 청송군","현서면 구산리 97-1 (현서면사무소)","낙동강","1961-08-01","1980-06-25","2024072400:00:00","20240724","1980-06-25","20240724"
"20024050","안동시(묵계교)","36-25-54","128-54-39","환경부","경상북도 안동시","길안면 묵계리 1127-85 ((구)묵계교)","낙동강","1964-08-01","1980-06-16","2024072400:00:00","20240724","1980-06-16","20240724"
"20024060","안동시(중평리)","36-33-53","128-55-06","환경부","경상북도 안동시","임동면 중평리 산195","낙동강","1969-07-01","1983-06-20","2024072400:00:00","20240724","1983-06-20","20240724"
"20024070","진보2","36-31-35","129-02-50","환경부","경상북도 청송군","진보면 진안리 진보면사무소","낙동강","1969-07-01","1982-07-23","1993120100:00:00","20240724","1982-07-23","19931201"
"20024080","청송군(덕리)","36-25-42","129-02-38","한국수자원공사","경상북도 청송군","청송읍 덕리","낙동강","1987-09-30","1987-09-30","2024072400:00:00","20240724","1987-09-30","20240724"
"20024090","청송군(대전리)","36-19-47","129-04-19","한국수자원공사","경상북도 청송군","부남면 대전리","낙동강","1987-09-30","1987-09-30","2024072400:00:00","20240724","1987-09-30","20240724"
"20024100","영양군(현리)","36-39-01","129-06-32","한국수자원공사","경상북도 영양군","영양읍 현리","낙동강","1987-09-30","1987-09-30","2024072400:00:00","20240724","1987-09-30","20240724"
"20024110","영양군(답곡리)","36-32-33","129-08-36","한국수자원공사","경상북도 영양군","석보면 답곡1리","낙동강","1987-09-30","1987-09-30","2024072400:00:00","20240724","1987-09-30","20240724"
"20024120","영양군(도곡리)","36-44-54","129-05-19","한국수자원공사","경상북도 영양군","일월면 도곡리 440","낙동강","1992-06-30","1992-06-30","2024072400:00:00","20240724","1992-06-30","20240724"
"20024130","청송군(도평리)","36-18-04","129-03-04","환경부","경상북도 청송군","현동면 도평리 산14-10 (청송제설창고 옆)","낙동강","1998-03-01","1998-03-01","2024072400:00:00","20240724","1998-03-01","20240724"
"20024140","청송군(월전리)","36-31-28","129-04-17","한국수자원공사","경상북도 청송군","진보면 월전리","낙동강","2000-01-01","2002-03-19","2024072400:00:00","20240724","2002-03-19","20240724"
"20024150","청송군(상의리)","36-22-34","129-08-42","한국수자원공사","경상북도 청송군","부동면 상의리","낙동강","2000-01-01","2002-03-19","2024072400:00:00","20240724","2002-03-19","20240724"
"20024160","영양군(송하리)","36-41-40","129-12-15","한국수자원공사","경상북도 영양군","수비면 송하리","낙동강","2000-01-01","2002-03-19","2024072400:00:00","20240724","2002-03-19","20240724"
"20024170","청송군(성재리)","36-14-24","128-57-53","한국수자원공사","경상북도 청송군","안덕면 성덕댐로 1191","낙동강","2014-01-01","2015-06-18","2024072400:00:00","20240724","2015-06-18","20240724"
"20024180","청송군(갈천리)","36-11-44","128-56-49","한국수자원공사","경상북도 청송군","현서면 성덕댐로 606","낙동강","2014-01-01","2015-06-18","2024072400:00:00","20240724","2015-06-18","20240724"
"20024190","청송군(무계리)","36-11-01","128-58-58","한국수자원공사","경상북도 청송군 현서면","무계리 산49","낙동강","2014-01-01","2015-06-18","2024072400:00:00","20240724","2015-06-18","20240724"
"20034010","의성군(풍지교)","36-31-48","128-21-54","환경부","경상북도 의성군","다인면 용곡리 764 (풍지교)","낙동강","1962-11-01","1983-06-20","2024072400:00:00","20240724","1983-06-20","20240724"
"20034020","의성군(윤암리)","36-25-01","128-46-25","환경부","경상북도 의성군","점곡면 윤암리 245-2번지","낙동강","1962-08-01","1980-06-25","2024072400:00:00","20240724","1980-06-25","20240724"
"20034030","안동시(만운리)","36-35-58","128-34-40","환경부","경상북도 안동시","풍산읍 만운리 산29-3","낙동강","1988-01-01","1988-01-01","2024072400:00:00","20240724","1988-01-01","20240724"
"20034040","안동시(망호리)","36-28-22","128-39-46","환경부","경상북도 안동시","일직면 망호리 401-25번지","낙동강","1988-01-01","1988-01-01","2024072400:00:00","20240724","1988-01-01","20240724"
"20044010","영주시(서천교)","36-49-49","128-36-50","환경부","경상북도 영주시","영주동 470-1","낙동강","1988-01-01","1988-01-01","2024072400:00:00","20240724","1988-01-01","20240724"
"20044020","영주시(부석중고교)","36-58-41","128-39-04","환경부","경상북도 영주시","부석면 소천리 501-1 (부석중고교)","낙동강","1961-09-01","1980-06-16","2024072400:00:00","20240724","1980-06-16","20240724"
"20044030","문경시(동로면사무소)","36-46-24","128-18-52","환경부","경상북도 문경시","동로면 적성리 545 (동로면사무소)","낙동강","1962-11-01","1980-06-24","2024072400:00:00","20240724","1980-06-24","20240724"
"20044050","영주시(수철리)","36-53-53","128-28-00","환경부","경상북도 영주시","풍기읍 수철리 산19-9","낙동강","1984-05-01","1984-07-04","2024072400:00:00","20240724","1984-07-04","20240724"
"20044070","예천군(두천리)","36-42-22","128-21-38","환경부","경상북도 예천군","용문면 두천리 산21-2","낙동강","1988-01-01","1988-01-01","2024072400:00:00","20240724","1988-01-01","20240724"
"20044080","예천군(고평교)","36-37-10","128-29-16","환경부","경상북도 예천군","호명면 월포리 624 (고평교)","낙동강","1996-10-15","1996-10-15","2024072400:00:00","20240724","1996-10-15","20240724"
