"obs_id","obs_name","lat","lon","gov_agency","attn_level","warn_level","danger_level","river","rel_river","opened_at","first_at","last_at","data_key","created_at","updated_at"
"1007640","여주시(율극교)","37.33388888888889","127.57333333333332","환경부","3.5","4.5","5.5","양화천","한강","2006-10-23","2006120100:00:00","2024080713:00:00","2024080714:01:29","2006120100:00:00","2024080713:00:00"
"1007642","이천시(동산교)","37.21666666666667","127.41611111111112","환경부","2.5","3.3","4.2","복하천","한강","2022-04-01","2022040101:00:00","2024080713:00:00","2024080714:01:29","2022040101:00:00","2024080713:00:00"
"1007645","이천시(복하교)","37.26694444444444","127.46083333333334","환경부","2.5","2.8","3.3","복하천","한강","1988-04-01","1989092001:00:00","2024080713:00:00","2024080714:01:29","1989092001:00:00","2024080713:00:00"
"1007650","여주시(흥천대교)","37.33305555555556","127.53527777777778","환경부","2.0","4.2","4.9","복하천","한강","2001-04-20","2000101700:00:00","2024080713:00:00","2024080714:01:29","2000101700:00:00","2024080713:00:00"
"1007655","여주시(양촌교)","37.3825","127.56277777777777","환경부","3.5","4.9","5.8","곡수천","한강","2006-10-23","2006120100:00:00","2024080713:00:00","2024080714:01:29","2006120100:00:00","2024080713:00:00"
"1007660","여주시(이포대교)","37.401111111111106","127.5375","환경부","3.5","6.5","8.5","한강","한강","2001-05-29","2000101700:00:00","2017071910:00:00","2024080714:01:29","2000101700:00:00","2017071910:00:00"
"1007662","이포보(상류)","37.401111111111106","127.53777777777778","환경부","28.5","33.1","34.7","한강","한강","2012-04-04","2013100114:00:00","2024080713:00:00","2024080714:01:29","2013100114:00:00","2024080713:00:00"
"1007680","양평군(흑천교)","37.46611111111111","127.5275","환경부","2.0","2.5","3.0","흑천","한강","1988-04-01","1989031501:00:00","2024080713:00:00","2024080714:01:29","1989031501:00:00","2024080713:00:00"
"1007685","양평군(양평교)","37.48638888888889","127.49","환경부","8.5","10.3","12.0","한강","한강","1953-11-01","1959070614:00:00","2024080713:00:00","2024080714:01:29","1959070614:00:00","2024080713:00:00"
"1007690","양평군(봉상교)","37.51166666666666","127.65138888888889","환경부","2.0","3.4","3.8","흑천","한강","2013-12-31","2013122711:00:00","2024080713:00:00","2024080714:01:29","2013122711:00:00","2024080713:00:00"
"1007697","양평군(신원리)","37.525","127.37138888888889","환경부","3.3","3.8","4.8","한강","한강","2016-11-07","2016110901:00:00","2024080713:00:00","2024080714:01:29","2016110901:00:00","2024080713:00:00"
"1010633","양구군(송청제2교)","38.08861111111111","127.99694444444445","환경부","3.0","4.1","5.0","양구서천","한강","2022-04-01","2022040101:00:00","2024080713:00:00","2024080714:01:29","2022040101:00:00","2024080713:00:00"
"1010674","화천군(신읍교)","38.11944444444445","127.69722222222222","환경부","3.6","4.6","5.5","화천천","한강","2024-01-16","2024011611:00:00","2024080713:00:00","2024080714:01:29","2024011611:00:00","2024080713:00:00"
"1010695","춘천시(춘천댐하류)","37.95944444444445","127.67583333333334","환경부","5.5","5.9","7.7","북한강","한강","1962-07-01","1963071307:00:00","2024080713:00:00","2024080714:01:29","1963071307:00:00","2024080713:00:00"
"1011620","인제군(반월촌교)","38.26444444444444","128.2036111111111","환경부","4.0","4.3","5.1","인북천","한강","2014-12-29","2014122912:00:00","2024080713:00:00","2024080714:01:29","2014122912:00:00","2024080713:00:00"
"1011695","인제군(리빙스턴교)","38.08833333333334","128.18333333333334","환경부","4.5","6.5","7.5","인북천","한강","2016-11-07","2016110901:00:00","2024080713:00:00","2024080714:01:29","2016110901:00:00","2024080713:00:00"
"1012630","인제군(왕성동교)","37.871944444444445","128.3227777777778","환경부","4.0","5.5","6.5","내린천","한강","2007-07-18","2007051416:00:00","2024080713:00:00","2024080714:01:29","2007051416:00:00","2024080713:00:00"
"1012635","인제군(양지교)","37.876666666666665","128.28833333333333","환경부","2.5","3.1","3.8","방내천","한강","2016-11-07","2016110901:00:00","2024080713:00:00","2024080714:01:29","2016110901:00:00","2024080713:00:00"
"1012640","인제군(현리교)","37.948055555555555","128.31722222222223","환경부","2.5","4.2","5.4","방태천","한강","2012-10-15","2012092118:00:00","2024080713:00:00","2024080714:01:29","2012092118:00:00","2024080713:00:00"
"1012645","인제군(하죽천교)","37.97694444444445","128.30805555555557","환경부","3.5","6.0","7.6","소양강","한강","2016-11-07","2016110901:00:00","2024080713:00:00","2024080714:01:29","2016110901:00:00","2024080713:00:00"
"1012685","춘천시(천전리)","37.930277777777775","127.78972222222222","환경부","2.5","4.2","5.4","소양강","한강","1962-07-01","1999022711:00:00","2024080713:00:00","2024080714:01:29","1999022711:00:00","2024080713:00:00"
"1013637","춘천시(소양2교)","37.893055555555556","127.7225","환경부","71.5","72.3","73.1","북한강","한강","1914-10-01","1925071014:00:00","2024080713:00:00","2024080714:01:29","1925071014:00:00","2024080713:00:00"
"1013645","춘천시(강촌교)","37.8175","127.63361111111112","환경부","2.0","7.4","9.8","북한강","한강","1992-09-01","1992060101:00:00","2024080713:00:00","2024080714:01:29","1992060101:00:00","2024080713:00:00"
"1013650","가평군(제령교)","37.89527777777778","127.53027777777778","환경부","3.3","5.3","6.2","가평천","한강","2024-01-16","2024011611:00:00","2024080713:00:00","2024080714:01:29","2024011611:00:00","2024080713:00:00"
"1013655","가평군(가평교)","37.831388888888895","127.51805555555555","환경부","1.8","3.0","4.0","가평천","한강","1915-01-01","1923072912:00:00","2024080713:00:00","2024080714:01:29","1923072912:00:00","2024080713:00:00"
"1014620","홍천군(용선교)","37.81333333333333","128.0652777777778","환경부","2.5","3.5","4.0","내촌천","한강","2009-10-27","2009102700:00:00","2024080713:00:00","2024080714:01:29","2009102700:00:00","2024080713:00:00"
"1014630","홍천군(주음치교)","37.78444444444444","127.98333333333333","환경부","3.0","3.7","4.8","홍천강","한강","1989-01-01","1989031401:00:00","2024080713:00:00","2024080714:01:29","1989031401:00:00","2024080713:00:00"
"1014640","홍천군(굴운교)","37.73861111111111","127.9413888888889","환경부","3.5","4.8","6.3","홍천강","한강","2007-07-18","2007051416:00:00","2024080713:00:00","2024080714:01:29","2007051416:00:00","2024080713:00:00"
"1014645","홍천군(귀미뜰교)","37.69638888888888","127.94250000000001","환경부","2.8","3.8","4.6","덕치천","한강","2024-01-16","2024011611:00:00","2024080713:00:00","2024080714:01:29","2024011611:00:00","2024080713:00:00"
"1014650","홍천군(홍천교)","37.68722222222222","127.87888888888888","환경부","2.0","5.3","6.4","","한강","1962-07-01","1965072107:00:00","2024080713:00:00","2024080714:01:29","1965072107:00:00","2024080713:00:00"
"1014665","홍천군(남노일대교)","37.67527777777777","127.77055555555556","환경부","5.5","7.0","8.7","홍천강","한강","2015-12-29","2015123010:00:00","2024080713:00:00","2024080714:01:29","2015123010:00:00","2024080713:00:00"
"1014680","홍천군(반곡교)","37.69361111111111","127.67055555555557","환경부","3.0","5.1","6.4","홍천강","한강","1982-05-05","1982060101:00:00","2024080713:00:00","2024080714:01:29","1982060101:00:00","2024080713:00:00"
"1015620","가평군(대보교)","37.79611111111111","127.37083333333332","환경부","3.2","4.8","5.6","조종천","한강","2023-01-27","2023012716:00:00","2024080713:00:00","2024080714:01:29","2023012716:00:00","2024080713:00:00"
"1015644","가평군(청평교)","37.73416666666667","127.41444444444446","환경부","2.0","5.5","7.0","조종천","한강","2006-10-23","2006120100:00:00","2024080713:00:00","2024080714:01:29","2006120100:00:00","2024080713:00:00"
"1015645","가평군(신청평대교)","37.71805555555556","127.41027777777778","환경부","5.0","10.7","13.7","북한강","한강","1914-01-01","1917090312:00:00","2024080713:00:00","2024080714:01:29","1917090312:00:00","2024080713:00:00"
"1015655","가평군(오류동교)","37.69305555555555","127.36555555555555","환경부","3.4","4.4","5.7","구운천","한강","2024-01-16","2024011611:00:00","2024080713:00:00","2024080714:01:29","2024011611:00:00","2024080713:00:00"
"1015680","남양주시(삼봉리)","37.59527777777778","127.33916666666666","환경부","1.6","4.6","5.9","북한강","한강","2013-01-03","2013010312:00:00","2024080713:00:00","2024080714:01:29","2013010312:00:00","2024080713:00:00"
