"obs_id","obs_name","lat","lon","gov_agency","addr","etc_addr"
"20184060","남원시(화수리)","35-27-00","127-33-06","환경부","전라북도 남원시","운봉읍 화수리 751-2"
"20184070","함양군(중남리)","35-42-22","127-40-25","환경부","경상남도 함양군","서상면 중남리 897-1"
"20184100","산청군(홍계리)","35-21-05","127-50-31","환경부","경상남도 산청군","삼장면 홍계리 1058-5"
"20184110","산청군(상중리)","35-28-52","127-55-50","환경부","경상남도 산청군","차황면 상중리 458"
"20184120","수곡2","35-11-45","127-56-05","환경부","경상남도 진주시","수곡면 대천리 수곡면사무소"
"20184130","산청군(경호교)","35-25-05","127-52-28","한국수자원공사","경상남도 산청군","산청읍 산청리"
"20184140","산청군(창촌리)","35-16-12","127-53-34","한국수자원공사","경상남도 산청군","단성면 백운리"
"20184150","함양군(삼정리)","35-21-35","127-38-31","환경부","경상남도 함양군","마천면 삼정리 산115"
"20184160","산청군(동당리)","35-16-20","127-46-35","환경부","경상남도 산청군","시천면 동당리 573-5"
"20184170","합천군(소오리)","35-24-50","128-07-03","한국수자원공사","경상남도 합천군","삼가면 소오리"
"20184180","남원시(운봉읍)","35-26-53","127-33-49","한국수자원공사","전라북도 남원시","운봉읍 화수리 145-215"
"20184190","함양군(의탄리)","35-24-07","127-40-58","한국수자원공사","경상남도 함양군","마천면 의탄리"
"20184200","함양군(금천리)","35-37-40","127-48-56","한국수자원공사","경상남도 함양군","안의면 금천리"
"20184210","남원시(덕동리)","35-20-49","127-32-46","한국수자원공사","전라북도 남원시","산내면 덕동리"
"20184220","남원시(의지리)","35-31-40","127-36-57","한국수자원공사","전라북도 남원시","아영면 의지리"
"20184230","함양군(운곡리)","35-38-15","127-40-53","한국수자원공사","경상남도 함양군","서하면 운곡리"
"20184240","산청군(내대리)","35-17-03","127-43-26","한국수자원공사","경상남도 산청군","시천면 내대리"
"20184250","함양군(용평리)","35-30-49","127-43-53","한국수자원공사","경상남도 함양군","함양읍 용평리"
"20184260","산청군(내원리)","35-18-53","127-47-11","한국수자원공사","경상남도 산청군","삼장면 내원리"
"20184270","함양군(화촌리)","35-27-52","127-47-28","한국수자원공사","경상남도 함양군","유림면 화촌리"
"20184280","하동군(위태리)","35-12-04","127-50-37","한국수자원공사","경상남도 하동군","청암면 위태리"
"20184290","하동군(대곡리)","35-10-43","127-55-13","한국수자원공사","경상남도 하동군","옥종면 대곡리"
"20184300","진주시(자매리)","35-14-08","127-55-42","한국수자원공사","경상남도 진주시","수곡면 자매리"
