"obs_id","rel_river","opened_at","first_at","last_at"
"20024050","낙동강","1964-08-01","19800616","20240722"
"20024060","낙동강","1969-07-01","19830620","20240722"
"20024070","낙동강","1969-07-01","19820723","19931201"
"20024080","낙동강","1987-09-30","19870930","20240722"
"20024090","낙동강","1987-09-30","19870930","20240722"
"20024100","낙동강","1987-09-30","19870930","20240722"
"20024110","낙동강","1987-09-30","19870930","20240722"
"20024120","낙동강","1992-06-30","19920630","20240722"
"20024130","낙동강","1998-03-01","19980301","20240722"
"20024140","낙동강","2000-01-01","20020319","20240722"
"20024150","낙동강","2000-01-01","20020319","20240722"
"20024160","낙동강","2000-01-01","20020319","20240722"
"20024170","낙동강","2014-01-01","20150618","20240722"
"20024180","낙동강","2014-01-01","20150618","20240722"
"20024190","낙동강","2014-01-01","20150618","20240722"
"20034010","낙동강","1962-11-01","19830620","20240722"
"20034020","낙동강","1962-08-01","19800625","20240722"
"20034030","낙동강","1988-01-01","19880101","20240722"
"20034040","낙동강","1988-01-01","19880101","20240722"
"20044010","낙동강","1988-01-01","19880101","20240722"
"20044020","낙동강","1961-09-01","19800616","20240722"
"20044030","낙동강","1962-11-01","19800624","20240722"
"20044040","낙동강","1967-06-01","NULL","NULL"
"20044050","낙동강","1984-05-01","19840704","20240722"
"20044060","낙동강","1988-01-01","NULL","NULL"
"20044070","낙동강","1988-01-01","19880101","20240722"
"20044080","낙동강","1996-10-15","19961015","20240722"
"20044090","낙동강","1998-03-01","19980301","20240722"
"20044100","낙동강","1998-03-01","19980301","20240722"
"20044110","낙동강","1998-03-01","19980301","20240722"
"20044120","낙동강","2015-07-01","20190116","20240722"
"20044130","낙동강","2014-12-01","20190116","20240722"
"20044140","낙동강","2014-12-01","20190116","20240722"
"20054010","낙동강","1961-11-01","19800616","20240722"
"20054020","낙동강","1988-01-01","19880101","20240722"
"20054030","낙동강","1969-07-01","19830823","20240722"
"20054040","낙동강","1969-07-01","19800625","20240722"
"20054050","낙동강","1973-01-01","NULL","NULL"
"20054060","낙동강","1984-01-01","19840712","20240722"
"20054070","낙동강","1984-04-01","19900401","20240722"
"20054080","낙동강","1988-01-01","19880101","20240722"
