"obs_id","river","rel_river","opened_at","first_at","last_at"
"2003610","낙동강","낙동강","1995-07-20","1918071004:00:00","2024072415:00:00"
"2003635","NULL","낙동강","2014-01-08","NULL","NULL"
"2003640","미천","낙동강","2005-01-24","2005012412:00:00","2024072415:00:00"
"2003650","미천","낙동강","2004-07-30","2006022016:00:00","2024072415:00:00"
"2003670","낙동강","낙동강","2005-01-24","2005012412:00:00","2024072415:00:00"
"2003690","낙동강","낙동강","1988-01-01","1987060120:00:00","2024072415:00:00"
"2004605","내성천","낙동강","2009-01-01","2008121600:00:00","2024072415:00:00"
"2004607","NULL","낙동강","2008-11-30","NULL","NULL"
"2004608","내성천","낙동강","2015-09-01","2019011615:00:00","2024072415:00:00"
"2004610","NULL","낙동강","2014-12-01","2019011615:00:00","2024072415:00:00"
"2004615","NULL","낙동강","2023-01-09","2023010900:00:00","2024072415:00:00"
"2004624","NULL","낙동강","2023-01-09","2023010900:00:00","2024072415:00:00"
"2004625","내성천","낙동강","1964-04-01","1983060108:00:00","2012123123:00:00"
"2004628","토일천","낙동강","2024-01-09","2024020212:00:00","2024072415:00:00"
"2004629","서천","낙동강","2023-01-09","2023010900:00:00","2024072415:00:00"
"2004630","내성천","낙동강","2016-07-01","2019013013:00:00","2024072415:00:00"
"2004632","내성천","낙동강","2014-12-01","2019011615:00:00","2024072415:00:00"
"2004635","서천","낙동강","2007-01-26","2007012622:00:00","2024072415:00:00"
"2004640","내성천","낙동강","2008-01-01","2008010100:00:00","2024072415:00:00"
"2004650","내성천","낙동강","2008-01-01","2008010100:00:00","2024072415:00:00"
"2004668","한천","낙동강","1962-07-01","1983060101:00:00","2024072415:00:00"
"2004680","내성천","낙동강","2007-01-26","2007012622:00:00","2024072415:00:00"
"2004685","NULL","낙동강","1900-01-01","NULL","NULL"
"2004695","금천","낙동강","1968-01-01","1981060101:00:00","2024072415:00:00"
"2005610","NULL","낙동강","2023-01-09","2023010900:00:00","2024072415:00:00"
"2005640","영강","낙동강","2012-01-01","2012010100:00:00","2024072415:00:00"
"2005643","조령천","낙동강","2023-01-09","2023010900:00:00","2024072415:00:00"
"2005650","영강","낙동강","1996-12-26","2002031907:00:00","2024072415:00:00"
"2005660","영강","낙동강","1965-12-01","1981060101:00:00","2024072415:00:00"
"2005670","이안천","낙동강","2005-07-30","2015071400:00:00","2024072415:00:00"
"2005680","이안천","낙동강","1968-01-01","1983060201:00:00","2024072415:00:00"
"2006603","NULL","낙동강","2013-12-20","NULL","NULL"
"2006625","병성천","낙동강","2003-04-01","2003040100:00:00","2024072415:00:00"
"2006630","병성천","낙동강","1968-01-01","1980060101:00:00","2024072415:00:00"
"2006660","북천","낙동강","2007-01-00","1983070212:00:00","1993113013:00:00"
"2006665","북천","낙동강","1942-10-01","1983070212:00:00","2024072415:00:00"
"2006675","병성천","낙동강","2010-01-01","2009102800:00:00","2024072415:00:00"
"2007620","낙동강","낙동강","2007-01-26","2007012622:00:00","2024072415:00:00"
"2007640","낙동강","낙동강","1962-07-01","1917090406:00:00","2024072415:00:00"
"2007645","NULL","낙동강","1968-01-01","NULL","NULL"
"2007660","낙동강","낙동강","1988-01-01","1987060120:00:00","2024072415:00:00"
"2007680","낙동강","낙동강","2010-05-31","2010060311:00:00","2024072415:00:00"
"2007682","낙동강","낙동강","2011-07-01","2012061514:00:00","2024072415:00:00"
"2007686","낙동강","낙동강","2018-11-02","2018110217:00:00","2024072415:00:00"
"2008603","위천","낙동강","2010-01-01","2019013013:00:00","2024072415:00:00"
"2008605","위천","낙동강","2010-01-01","2010092810:00:00","2024072415:00:00"
"2008610","위천","낙동강","1982-07-10","1982070606:00:00","1993112200:00:00"
"2008620","위천","낙동강","1982-07-10","1982080901:00:00","1993103117:00:00"
"2008621","위천","낙동강","2010-01-01","2010092810:00:00","2024072415:00:00"
"2008628","남대천","낙동강","2017-12-14","2018011515:00:00","2024072415:00:00"
"2008629","NULL","낙동강","2008-08-26","NULL","NULL"
"2008630","위천","낙동강","1982-07-06","1982070601:00:00","2024072415:00:00"
"2008631","쌍계천","낙동강","2012-01-01","2012031501:00:00","2024072415:00:00"
"2008632","위천","낙동강","2010-01-01","2009102800:00:00","2024072415:00:00"
"2008633","위천","낙동강","2021-10-01","2020052716:00:00","2024072415:00:00"
"2008635","위천","낙동강","1982-07-09","1982090113:00:00","2024072415:00:00"
"2008645","남천","낙동강","1982-09-01","1982070101:00:00","2024072415:00:00"
"2008650","위천","낙동강","1982-07-08","1982070514:00:00","2024072415:00:00"
"2008653","NULL","낙동강","2023-01-09","2023010900:00:00","2024072415:00:00"
"2008659","NULL","낙동강","2023-01-09","2023010900:00:00","2024072415:00:00"
"2008660","NULL","낙동강","1923-01-01","1924072515:00:00","1987072416:00:00"
"2008665","위천","낙동강","2016-01-01","2016010100:00:00","2024072415:00:00"
"2008690","위천","낙동강","1965-12-01","1980070101:00:00","2024072415:00:00"
"2009618","낙동강","낙동강","2010-05-31","2010060311:00:00","2024072415:00:00"
"2009620","낙동강","낙동강","1924-01-01","1915090812:00:00","2024072415:00:00"
"2009670","낙동강","낙동강","1982-07-01","1983060101:00:00","2024072415:00:00"
"2009680","낙동강","낙동강","2010-05-31","2010060311:00:00","2024072415:00:00"
"2009682","낙동강","낙동강","2011-06-01","2012061514:00:00","2024072415:00:00"
"2010620","부항천","낙동강","2012-10-12","2013090510:00:00","2024072415:00:00"
"2010623","부항천","낙동강","2013-07-05","2013090510:00:00","2024072415:00:00"
"2010625","부항천","낙동강","2012-10-12","2013090510:00:00","2024072415:00:00"
"2010630","부항천","낙동강","2012-10-12","2013090510:00:00","2024072415:00:00"
"2010635","감천","낙동강","2012-01-01","2012010414:00:00","2024072415:00:00"
"2010640","NULL","낙동강","2023-01-09","2023010900:00:00","2024072415:00:00"
"2010650","감천","낙동강","1942-10-01","1954072322:00:00","2024072415:00:00"
"2010687","NULL","낙동강","2012-09-13","NULL","NULL"
"2011625","한천","낙동강","2016-01-01","2016010100:00:00","2024072415:00:00"
"2011640","낙동강","낙동강","1962-07-01","1987060120:00:00","2024072415:00:00"
"2011648","낙동강","낙동강","2010-05-31","2010060311:00:00","2024072415:00:00"
"2011649","낙동강","낙동강","2011-06-01","2012061514:00:00","2024072415:00:00"
"2011650","낙동강","낙동강","1924-04-01","1917070417:00:00","2024072415:00:00"
"2011660","낙동강","낙동강","1995-03-08","1987060120:00:00","2024072415:00:00"
"2011665","백천","낙동강","2009-01-01","2008121600:00:00","2024072415:00:00"
"2011696","낙동강","낙동강","2012-01-27","2012061514:00:00","2024072415:00:00"
"2011697","낙동강","낙동강","2010-05-31","2010060311:00:00","2012040323:00:00"
"2012602","고현천","낙동강","2007-11-27","2015071400:00:00","2017072312:00:00"
"2012605","낙동강","낙동강","2010-07-03","2015071400:00:00","2024072415:00:00"
"2012607","고현천","낙동강","2014-07-01","2014070416:00:00","2024072415:00:00"
"2012610","고현천","낙동강","2014-07-01","2015061811:00:00","2024072415:00:00"
"2012612","고현천","낙동강","2014-07-01","2015061811:00:00","2024072415:00:00"
"2012615","자호천","낙동강","1980-12-31","2007012622:00:00","2024072415:00:00"
"2012625","자호천","낙동강","1972-01-01","1988061615:00:00","2024072415:00:00"
"2012628","금호강","낙동강","2008-02-01","2008012900:00:00","2024072415:00:00"
"2012632","신령천","낙동강","2011-01-01","2011010100:00:00","2024072415:00:00"
"2012640","금호강","낙동강","1962-07-01","1965071709:00:00","2024072415:00:00"
"2012645","낙동강","낙동강","1962-07-01","2006010916:00:00","2024072415:00:00"
"2012648","오목천","낙동강","2009-01-01","2008121600:00:00","2024072415:00:00"
"2012650","금호강","낙동강","2002-04-11","2001010100:00:00","2024072415:00:00"
"2012652","남천","낙동강","2002-02-07","2001010100:00:00","2024072415:00:00"
"2012653","금호강","낙동강","2011-01-01","2011010100:00:00","2024072415:00:00"
"2012660","금호강","낙동강","1923-06-01","1923072320:00:00","2024072415:00:00"
"2012665","동화천","낙동강","2002-02-07","2001010100:00:00","2024072415:00:00"
"2012666","금호강","낙동강","2021-10-01","2021093010:00:00","2024072415:00:00"
"2012670","금호강","낙동강","2006-01-25","2006011216:00:00","2024072415:00:00"
"2012675","NULL","낙동강","1977-01-01","NULL","NULL"
"2012680","NULL","낙동강","1977-11-01","NULL","NULL"
"2012681","NULL","낙동강","1977-11-01","NULL","NULL"
"2012690","신천","낙동강","2002-04-11","2001010100:00:00","2024072415:00:00"
"2012695","금호강","낙동강","1962-07-01","1963061906:00:00","2024072415:00:00"
"2012696","낙동강","낙동강","2006-04-25","2006011216:00:00","2024072415:00:00"
"2013611","NULL","낙동강","2008-01-28","2018120614:00:00","2019030514:00:00"
"2013615","대가천","낙동강","1962-07-01","1963062005:00:00","2024072415:00:00"
"2013620","화죽천","낙동강","2009-01-01","2008121600:00:00","2024072415:00:00"
"2013629","대가천","낙동강","2023-01-09","2023010900:00:00","2024072415:00:00"
"2013630","가야천","낙동강","2015-01-01","2015010100:00:00","2024072415:00:00"
"2013640","안림천","낙동강","2012-01-01","2012010414:00:00","2024072415:00:00"
"2013650","회천","낙동강","1962-07-01","1963061911:00:00","2024072415:00:00"
"2013685","회천","낙동강","1968-01-01","1977040608:00:00","2024072415:00:00"
"2013690","회천","낙동강","2003-05-23","2003052300:00:00","2024072415:00:00"
"2014620","낙동강","낙동강","1995-04-01","1987060120:00:00","2024072415:00:00"
"2014625","NULL","낙동강","1900-01-01","NULL","NULL"
"2014640","낙동강","낙동강","1968-01-01","1977042507:00:00","2024072415:00:00"
"2014650","낙동강","낙동강","2010-05-31","2010060311:00:00","2024072415:00:00"
"2014651","낙동강","낙동강","2012-01-27","2012061514:00:00","2024072415:00:00"
"2014660","낙동강","낙동강","1917-06-01","1921071313:00:00","2024072415:00:00"
"2014665","NULL","낙동강","2014-11-03","NULL","NULL"
"2014680","낙동강","낙동강","2006-04-26","1965071101:00:00","2024072415:00:00"
"2014690","낙동강","낙동강","2006-01-25","2006011216:00:00","2024072415:00:00"
"2014697","낙동강","낙동강","2010-05-31","2010060311:00:00","2024072415:00:00"
"2014699","낙동강","낙동강","2012-01-27","2012061514:00:00","2024072415:00:00"
"2015620","황강","낙동강","1987-10-01","1987060120:00:00","2024072415:00:00"
"2015630","황강","낙동강","2012-03-01","2013071615:00:00","2024072415:00:00"
"2015635","위천","낙동강","1987-10-01","1987060120:00:00","2024072415:00:00"
"2015637","NULL","낙동강","2019-01-01","2019071919:00:00","2024072415:00:00"
"2015645","NULL","낙동강","1962-07-01","1965071203:00:00","1982081408:00:00"
"2015650","NULL","낙동강","2014-02-21","NULL","NULL"
"2015655","가천천","낙동강","1992-07-15","1987060120:00:00","2024072415:00:00"
"2015680","황강","낙동강","1987-10-01","1987060120:00:00","2024072415:00:00"
"2015690","NULL","낙동강","1962-07-01","1963061912:00:00","1985100100:00:00"
"2016630","황강","낙동강","1987-10-01","1987060120:00:00","2024072415:00:00"
"2016635","황강","낙동강","1987-10-01","1987060120:00:00","2024072415:00:00"
"2016640","황강","낙동강","1987-10-01","1987060120:00:00","2024072415:00:00"
"2016650","황강","낙동강","1987-10-01","1963061914:00:00","2024072415:00:00"
"2016660","황강","낙동강","2022-03-02","2022021412:00:00","2024072415:00:00"
"2016680","황강","낙동강","1962-07-01","1965071206:00:00","2024072415:00:00"
"2017620","낙동강","낙동강","1980-06-01","1980072312:00:00","2024072415:00:00"
"2017630","신반천","낙동강","2012-01-01","2012010414:00:00","2024072415:00:00"
"2017640","토평천","낙동강","2018-12-12","2018121216:00:00","2024072415:00:00"
"2017670","낙동강","낙동강","1955-11-01","1920070916:00:00","2024072415:00:00"
"2017685","유곡천","낙동강","2008-02-01","2008012900:00:00","2024072415:00:00"
"2018608","남강","낙동강","1994-11-01","1987060120:00:00","2024072415:00:00"
"2018609","남강","낙동강","1962-07-01","1964071601:00:00","2024072415:00:00"
"2018620","함양위천","낙동강","1994-11-01","1987060120:00:00","2024072415:00:00"
"2018623","NULL","낙동강","2019-07-01","2019090417:00:00","2024072415:00:00"
"2018630","임천","낙동강","1987-06-01","1987060120:00:00","2024072415:00:00"
"2018635","임천","낙동강","1994-11-01","1987060120:00:00","2024072415:00:00"
"2018640","남강","낙동강","2015-01-01","2007020113:00:00","2024072415:00:00"
"2018645","남강","낙동강","1976-03-13","1915090820:00:00","2024072415:00:00"
"2018650","남강","낙동강","2013-02-14","2015071400:00:00","2024072415:00:00"
"2018653","NULL","낙동강","2008-11-27","NULL","NULL"
"2018655","양천","낙동강","1987-04-01","1999010100:00:00","2024072415:00:00"
"2018658","NULL","낙동강","2012-09-19","NULL","NULL"
"2018662","신등천","낙동강","2017-12-09","2018011515:00:00","2024072415:00:00"
"2018665","양천","낙동강","1994-11-01","1987060120:00:00","2024072415:00:00"
"2018670","NULL","낙동강","1962-07-01","1923072201:00:00","1940090700:00:00"
"2018673","NULL","낙동강","2019-07-01","2019090417:00:00","2024072415:00:00"
"2018674","남강","낙동강","2011-01-01","2011010100:00:00","2024072415:00:00"
"2018675","NULL","낙동강","1962-07-01","NULL","NULL"
"2018680","덕천강","낙동강","1976-03-13","1987060120:00:00","2024072415:00:00"
"2018685","덕천강","낙동강","1994-11-01","1987060120:00:00","2024072415:00:00"
"2018688","NULL","낙동강","2023-01-09","2023010900:00:00","2024072415:00:00"
"2018690","덕천강","낙동강","1994-11-01","1987060120:00:00","2024072415:00:00"
"2018692","가화천","낙동강남해","1997-07-01","1987060120:00:00","2024072415:00:00"
"2018695","남강","낙동강","1994-11-01","1987060120:00:00","2024072415:00:00"
"2018698","남강","낙동강","1994-11-01","1987060120:00:00","2024072415:00:00"
"2019610","영천강","낙동강","2009-01-01","2008121600:00:00","2024072415:00:00"
"2019615","남강","낙동강","1987-06-01","1987060120:00:00","2024072415:00:00"
"2019620","남강","낙동강","2015-01-01","2015010100:00:00","2024072415:00:00"
"2019625","영천강","낙동강","2017-01-01","2017010100:00:00","2024072415:00:00"
"2019635","남강","낙동강","2007-01-26","2007012622:00:00","2024072415:00:00"
"2019640","남강","낙동강","2010-01-01","2011010100:00:00","2024072415:00:00"
"2019647","남강","낙동강","2013-01-01","2013010100:00:00","2024072415:00:00"
"2019651","NULL","낙동강","2012-11-16","NULL","NULL"
"2019653","의령천","낙동강","2016-01-01","2016010100:00:00","2024072415:00:00"
"2019655","남강","낙동강","1922-08-01","1916062418:00:00","2024072415:00:00"
"2019660","NULL","낙동강","1983-01-01","NULL","NULL"
"2019680","함안천","낙동강","2006-01-25","2006011216:00:00","2024072415:00:00"
"2019685","함안천","낙동강","2016-12-29","2017010100:00:00","2024072415:00:00"
"2019695","남강","낙동강","1917-07-01","1917070501:00:00","2024072415:00:00"
"2020603","청도천","낙동강","2008-02-01","2008012900:00:00","2024072415:00:00"
"2020605","계성천","낙동강","2008-02-01","2008012900:00:00","2024072415:00:00"
"2020615","낙동강","낙동강","1921-08-01","1921080101:00:00","2024072415:00:00"
"2020640","광려천","낙동강","2007-01-26","2007012622:00:00","2024072415:00:00"
"2020646","낙동강","낙동강","2012-01-27","2012061514:00:00","2024072415:00:00"
"2020647","낙동강","낙동강","2010-05-31","2010060311:00:00","2024072415:00:00"
"2020650","낙동강","낙동강","1955-10-01","1924072402:00:00","2024072415:00:00"
"2020651","청도천","낙동강","2012-01-01","2012010414:00:00","2024072415:00:00"
"2020675","광려천","낙동강","1924-02-01","1917070510:00:00","2024072415:00:00"
"2020680","화포천","낙동강","2007-01-26","2007012622:00:00","2024072415:00:00"
"2021610","동창천","낙동강","2016-12-29","2017010100:00:00","2024072415:00:00"
"2021612","NULL","낙동강","2013-11-01","2014010312:00:00","2024072415:00:00"
"2021620","동창천","낙동강","1994-03-31","2006022016:00:00","2024072415:00:00"
"2021625","낙동강","낙동강","2013-11-30","2         :00:00","2024072415:00:00"
"2021630","동창천","낙동강","2013-11-30","20        :00:00","2024072415:00:00"
"2021635","NULL","낙동강","2007-12-01","2017072313:00:00","2024072415:00:00"
"2021640","청도천","낙동강","1962-07-01","1963062002:00:00","2024072415:00:00"
"2021650","단장천","낙동강","2000-06-01","2002031907:00:00","2024072415:00:00"
"2021660","단장천","낙동강","2001-06-04","2006022016:00:00","2024072415:00:00"
"2021665","밀양강","낙동강","2011-01-01","2011010100:00:00","2024072415:00:00"
"2021670","단장천","낙동강","2014-01-01","2014010100:00:00","2024072415:00:00"
"2021675","밀양강","낙동강","1917-02-01","1918071113:00:00","2024072415:00:00"
"2021677","밀양강","낙동강","2007-01-26","2007012622:00:00","2024072415:00:00"
"2021680","NULL","낙동강","1967-01-01","1980091301:00:00","1987090123:00:00"
"2021685","밀양강","낙동강","1988-01-01","1987060120:00:00","2024072415:00:00"
"2021690","밀양강","낙동강","2006-01-25","2006011216:00:00","2024072415:00:00"
"2022610","낙동강","낙동강","1955-08-01","1916062319:00:00","2024072415:00:00"
"2022620","NULL","낙동강","1917-06-01","1917070615:00:00","1936090607:00:00"
"2022640","낙동강","낙동강","1935-01-01","1935072314:00:00","2024072415:00:00"
"2022651","양산천","낙동강","2024-01-09","2024020212:00:00","2024072415:00:00"
"2022655","양산천","낙동강","2006-01-25","2006011216:00:00","2024072415:00:00"
"2022660","양산천","낙동강","1962-07-01","1980080308:00:00","2024072415:00:00"
"2022662","유산천","낙동강","2024-01-09","2024020212:00:00","2024072415:00:00"
"2022670","양산천","낙동강","2006-01-27","2006011216:00:00","2024072415:00:00"
"2022678","서낙동강","낙동강","2024-02-13","2024010101:00:00","2024072415:00:00"
"2022680","낙동강","낙동강","1927-06-01","1918070211:00:00","2024072415:00:00"
"2022685","조만강","낙동강","2008-02-01","2008012900:00:00","2024072415:00:00"
"2022688","평강천","낙동강","2023-10-18","2023091515:00:00","2024072415:00:00"
"2022690","서낙동강","낙동강","2022-04-20","2022021412:00:00","2024072415:00:00"
"2022696","낙동강","회야ㆍ수영","1988-01-01","1987060120:00:00","2024072415:00:00"
"2022697","낙동강","낙동강남해","1988-01-01","1987060122:00:00","2024072415:00:00"
"2101603","형산강","형산강","2024-01-09","2024020212:00:00","2024072415:00:00"
"2101610","형산강","형산강","2016-01-01","2016010100:00:00","2024072415:00:00"
"2101620","대천","형산강","2016-01-01","2016010100:00:00","2024072415:00:00"
"2101624","남천","형산강","2024-01-09","2024020212:00:00","2024072415:00:00"
"2101625","형산강","형산강","1962-07-01","1998033009:00:00","2024072415:00:00"
"2101632","NULL","형산강","2014-02-21","NULL","NULL"
"2101650","형산강","형산강","1962-07-01","1985062320:00:00","2024072415:00:00"
"2101668","기계천","형산강","1998-06-01","1998033009:00:00","2024072415:00:00"
"2101675","형산강","형산강","1962-07-01","1965071207:00:00","2024072415:00:00"
"2101680","형산강","형산강","1928-10-01","1928072017:00:00","2024072415:00:00"
"2101690","형산강","형산강","1928-01-01","1928072105:00:00","2024072415:00:00"
"2201611","태화강","태화강","2016-01-01","2016010100:00:00","2024072415:00:00"
"2201613","태화강","태화강","2008-03-13","2015071400:00:00","2024072415:00:00"
"2201614","NULL","태화강","2019-01-01","2019071919:00:00","2024072415:00:00"
"2201615","둔기천","태화강","1969-12-31","2007111220:00:00","2024072415:00:00"
"2201617","NULL","태화강","2019-01-01","2019071919:00:00","2024072415:00:00"
"2201625","대곡천","태화강","1965-12-31","2019013013:00:00","2024072415:00:00"
"2201630","태화강","태화강","1962-07-01","1972070316:00:00","2024072415:00:00"
"2201640","태화강","태화강","2017-11-09","2018011515:00:00","2024072415:00:00"
"2201650","동천","태화강","2007-01-00","NULL","NULL"
"2201653","태화강","태화강","2009-01-01","2008121600:00:00","2024072415:00:00"
"2201660","태화강","태화강","1962-07-01","1965070808:00:00","2024072415:00:00"
"2201670","태화강","태화강","1962-02-01","1969070404:00:00","2024072415:00:00"
"2201685","동천","태화강","2017-11-10","2018011515:00:00","2024072415:00:00"
"2201690","동천","태화강","1962-07-01","1965072120:00:00","2024072415:00:00"
"2301630","회야강","회야ㆍ수영","1962-07-01","2006010916:00:00","2024072415:00:00"
"2301650","회야강","회야ㆍ수영","1962-07-01","2006010916:00:00","2024072415:00:00"
"2301670","회야강","회야ㆍ수영","2016-01-01","2016010100:00:00","2024072415:00:00"
"2302635","NULL","회야ㆍ수영","2024-01-09","2024020212:00:00","2024072415:00:00"
"2302640","수영강","회야ㆍ수영","2022-03-02","2022021115:00:00","2024072415:00:00"
"2302650","NULL","회야ㆍ수영","2017-01-01","2017010100:00:00","2024072415:00:00"
"2302655","온천천","회야ㆍ수영","2022-03-02","2022021115:00:00","2024072415:00:00"
"2302660","NULL","낙동강","1921-11-01","1921071109:00:00","1967070303:00:00"
"2302661","NULL","회야ㆍ수영","2024-01-09","2024020212:00:00","2024072415:00:00"
"2302690","NULL","회야ㆍ수영","2022-04-20","2022021412:00:00","2024072415:00:00"
"2302695","NULL","회야ㆍ수영","1988-01-01","1987060120:00:00","2024072415:00:00"
"2401613","남대천","낙동강동해","2022-07-27","2022072816:00:00","2024072415:00:00"
"2401616","남대천","낙동강동해","2022-03-02","2022021811:00:00","2024072415:00:00"
"2401620","왕피천","낙동강동해","1996-12-26","2002101511:00:00","2024072415:00:00"
"2401633","장수포천","낙동강동해","2024-01-09","2024020212:00:00","2024072415:00:00"
"2401650","왕피천","낙동강동해","2017-01-01","2017010100:00:00","2024072415:00:00"
"2401690","송천","낙동강동해","2016-01-01","2016010100:00:00","2024072415:00:00"
"2401691","NULL","낙동강동해","2010-12-16","NULL","NULL"
"2402610","NULL","낙동강동해","2016-12-07","NULL","NULL"
"2402620","대서천","낙동강동해","1996-12-26","2002120316:00:00","2024072415:00:00"
"2402630","영덕오십천","낙동강동해","2016-01-01","2016010100:00:00","2024072415:00:00"
"2402680","곡강천","낙동강동해","2024-01-09","2024020212:00:00","2024072415:00:00"
"2403620","냉천","낙동강동해","2023-03-05","2023042710:00:00","2024072415:00:00"
"2403625","NULL","낙동강동해","2023-01-09","2023010900:00:00","2024072415:00:00"
"2501620","NULL","낙동강","1995-01-01","1987060120:00:00","2019081415:00:00"
"2501640","가화천","낙동강","2007-01-00","1997093023:00:00","2002052100:00:00"
"2503620","연초천","낙동강남해","1979-12-31","2019013013:00:00","2024072415:00:00"
"2503625","둔덕천","낙동강남해","2008-03-13","2015071400:00:00","2024072415:00:00"
"2503640","구천천","낙동강남해","1987-12-31","2020021114:00:00","2024072415:00:00"
"2503650","구천천","낙동강남해","2008-01-01","2007111220:00:00","2024072415:00:00"
"2504695","NULL","금강","1974-10-01","NULL","NULL"
"3001603","NULL","금강","2006-05-25","NULL","NULL"
"3001604","NULL","금강","2013-07-18","NULL","NULL"
"3001605","금강","금강","2008-01-01","2008010100:00:00","2024072415:00:00"
"3001610","장계천","금강","2008-01-01","2008010100:00:00","2024072415:00:00"
"3001615","NULL","금강","--","NULL","NULL"
"3001620","금강","금강","1999-06-15","2002012418:00:00","2024072415:00:00"
"3001630","진안천","금강","2010-01-01","2019011514:00:00","2024072415:00:00"
"3001640","구량천","금강","1999-06-15","2003122610:00:00","2024072415:00:00"
"3001660","정자천","금강","2010-01-01","2019011514:00:00","2024072415:00:00"
"3001680","주자천","금강","2010-01-01","NULL","NULL"
"3001690","금강","금강","2000-06-09","2001041819:00:00","2024072415:00:00"
"3001695","금강","금강","2001-04-17","2003122610:00:00","2024072415:00:00"
"3002630","NULL","금강","2001-03-16","2014041412:00:00","2024072415:00:00"
"3002650","금강","금강","1962-07-01","1963072605:00:00","2024072415:00:00"
"3002655","금강","금강","2012-01-01","2011082511:00:00","2024072415:00:00"
"3003617","원당천","금강","2021-12-28","2021122818:00:00","2024072415:00:00"
"3003620","무주남대천","금강","2007-01-01","2006010100:00:00","2024072415:00:00"
"3003660","무주남대천","금강","2007-01-01","2006010100:00:00","2024072415:00:00"
"3003675","상곡천","금강","2021-12-28","2021122818:00:00","2024072415:00:00"
"3003680","무주남대천","금강","1973-01-01","1981060101:00:00","2024072415:00:00"
"3003692","적상천","금강","2021-12-28","2021122818:00:00","2024072415:00:00"
"3003694","NULL","금강","2024-02-01","2024040117:00:00","2024072415:00:00"
"3004610","NULL","금강","1962-.7-.","1965070901:00:00","1993123100:00:00"
"3004620","금강","금강","1992-07-09","1993030100:00:00","2024072415:00:00"
"3004637","봉황천","금강","2019-09-06","2019100118:00:00","2024072415:00:00"
"3004640","금강","금강","1995-03-01","2005022313:00:00","2024072415:00:00"
"3004645","봉황천","금강","2011-01-01","2010080211:00:00","2024072415:00:00"
"3004650","금강","금강","1987-06-30","1993030100:00:00","2024072415:00:00"
"3004680","영동천","금강","2013-01-01","2013010100:00:00","2024010100:00:00"
"3004685","영동천","금강","2006-01-01","2005042910:00:00","2024072415:00:00"
"3004690","금강","금강","1962-07-01","1963053012:00:00","2024072415:00:00"
"3005620","NULL","금강","1968-01-01","NULL","NULL"
"3005670","초강","금강","2008-01-01","2008010100:00:00","2024072415:00:00"
"3005675","석천","금강","2008-01-01","2008010100:00:00","2024072415:00:00"
"3005680","초강","금강","1992-07-09","1993030100:00:00","2024072415:00:00"
"3005681","NULL","금강","1980-.1-2.","1985062109:00:00","1993123100:00:00"
"3005690","초강","금강","1973-01-01","1976082716:00:00","2024072415:00:00"
"3006650","NULL","금강","1946-01-01","1954072411:00:00","1992040101:00:00"
"3006675","NULL","금강","1916-01-","1930063001:00:00","1978082108:00:00"
"3006680","금강","금강","1979-09-15","1984070301:00:00","2024072415:00:00"
"3006690","금강","금강","2021-12-28","2022010501:00:00","2024072415:00:00"
"3007606","NULL","금강","2007-01-01","NULL","NULL"
"3007610","보청천","금강","1982-08-01","1982091413:00:00","2024072415:00:00"
"3007612","NULL","금강","1900-01-01","NULL","NULL"
"3007620","보청천","금강","1982-08-01","1982070709:00:00","2024072415:00:00"
"3007622","NULL","금강","1900-01-01","NULL","NULL"
"3007626","NULL","금강","2013-02-03","NULL","NULL"
"3007637","NULL","금강","2017-12-08","NULL","NULL"
"3007640","삼가천","금강","1982-08-01","1985060108:00:00","2024072415:00:00"
"3007642","NULL","금강","1900-01-01","NULL","NULL"
"3007645","보청천","금강","2008-01-01","2008010100:00:00","2024072415:00:00"
"3007650","보청천","금강","1982-08-01","1984060107:00:00","2024072415:00:00"
"3007652","NULL","금강","1900-01-01","NULL","NULL"
"3007655","NULL","금강","2018-12-10","NULL","NULL"
"3007660","보청천","금강","1982-08-01","1985060105:00:00","2024072415:00:00"
"3007662","NULL","금강","1900-01-01","NULL","NULL"
"3007670","보청천","금강","1979-09-15","1987012715:00:00","2024072415:00:00"
"3008605","추풍천","금강","2021-12-28","2021122818:00:00","2024072415:00:00"
"3008630","소옥천","금강","2008-01-01","2008010100:00:00","2024072415:00:00"
"3008670","봉황천","금강","2007-01-01","2006010100:00:00","2024072415:00:00"
"3008680","금강","금강","1979-09-15","1984070301:00:00","2024072415:00:00"
"3008685","금강","금강","1979-09-15","1984070301:00:00","2024072415:00:00"
"3008690","금강","금강","1979-09-15","1984070301:00:00","2024072415:00:00"
"3008695","금강","금강","2007-01-01","2006010100:00:00","2024072415:00:00"
"3009608","NULL","금강","2024-02-01","2024040117:00:00","2024072415:00:00"
"3009617","NULL","금강","2023-04-11","2023041314:00:00","2024072220:00:00"
"3009620","유등천","금강","2001-05-01","2001041318:00:00","2024072415:00:00"
"3009630","유등천","금강","2001-05-01","2001041318:00:00","2024072415:00:00"
"3009640","NULL","금강","2001-05-01","2001041318:00:00","2024072415:00:00"
"3009645","대동천","금강","2009-01-01","2008111917:00:00","2024072415:00:00"
"3009650","갑천","금강","2001-05-01","2001041318:00:00","2024072415:00:00"
"3009655","두계천","금강","2001-05-01","2001041318:00:00","2024072415:00:00"
"3009665","갑천","금강","2001-05-01","2001041318:00:00","2024072415:00:00"
"3009670","갑천","금강","1985-03-01","2001041318:00:00","2024072415:00:00"
